,A,B,C,D
0,41,55,0,24
1,90,23,99,85
2,64,83,27,80
3,55,15,60,0
4,41,23,98,20
5,96,13,14,79
6,35,57,36,27
7,4,9,0,80
8,15,57,30,39
9,4,32,91,23
10,70,65,9,64
11,82,83,37,63
12,4,80,97,51
13,38,94,79,39
14,1,89,53,26
15,22,28,35,1
16,0,10,65,96
17,38,37,7,82
18,36,19,94,59
19,64,73,41,53
20,4,90,57,78
21,32,54,47,20
22,78,50,64,75
23,77,67,73,62
24,81,73,30,91
25,63,28,86,91
26,33,24,8,28
27,27,45,5,32
28,5,59,10,72
29,78,85,46,54
30,37,51,92,95
31,27,61,25,70
32,4,52,16,33
33,96,75,1,96
34,15,24,39,96
35,95,66,33,5
36,96,76,93,43
37,75,49,88,39
38,44,51,2,43
39,77,23,81,95
40,24,55,74,78
41,55,67,76,26
42,76,15,8,33
43,22,58,1,39
44,90,86,80,8
45,22,8,8,81
46,3,91,47,43
47,45,20,59,42
48,70,56,6,49
49,55,40,41,0
50,11,25,17,23
51,27,60,70,80
52,31,43,99,16
53,59,63,49,91
54,66,2,24,50
55,90,55,82,47
56,55,49,75,45
57,14,31,2,24
58,61,98,16,44
59,18,5,95,87
60,61,90,93,40
61,88,13,11,66
62,45,3,32,60
63,86,28,31,41
64,83,32,65,81
65,87,50,30,49
66,26,40,84,27
67,83,21,34,70
68,33,31,66,89
69,62,13,90,33
70,38,21,11,67
71,77,77,46,49
72,75,15,98,61
73,4,45,61,15
74,24,54,97,61
75,52,47,37,18
76,73,47,50,45
77,44,42,79,14
78,36,64,3,33
79,95,61,59,91
80,15,93,30,15
81,78,22,12,13
82,28,24,69,27
83,68,97,23,52
84,97,36,7,27
85,96,51,87,5
86,67,86,76,56
87,25,4,29,34
88,89,48,51,67
89,38,65,75,17
90,64,42,30,50
91,60,50,42,22
92,51,99,32,93
93,81,49,92,67
94,83,53,46,15
95,36,16,86,55
96,52,22,12,74
97,90,75,90,96
98,13,0,29,55
99,41,58,99,35
